label,n_interests,n_projects,interests,subj_1_name,subj_1_score,subj_2_name,subj_2_score,subj_3_name,subj_3_score,subj_4_name,subj_4_score,subj_5_name,subj_5_score,project_skills
EAM,2,2,Mobile & IoT Development|Network & Wireless Systems,C++,89.3,IoT,84.8,Microcontroller & Embedded Systems,82.8,Python,78.0,Engineering Mathematics-III,77.9,audit|monitoring|power|iot|sensor|efficiency|optimization|energy
OR,3,2,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Engineering Mathematics-IV,66.4,Engineering Mathematics-III,62.2,Computer Networks,54.0,Operating Systems,53.3,C++,52.5,simplex|supply chain|linear programming|queuing|inventory|optimization
DBM,2,1,Data Science & Analytics|Web Development,Software Engineering,81.8,Full Stack Development,70.2,Computer Networks,68.0,IoT,61.7,Cryptography & Network Security,57.5,agile|crm|analytics|react|seo|web
RE,3,1,Network & Wireless Systems|Cloud & Distributed Systems|Data Science & Analytics,Database Management Systems,100.0,Engineering Mathematics-III,96.7,Microcontroller & Embedded Systems,96.0,IoT,93.9,Engineering Mathematics-IV,90.9,fault tree|react|simulation|testing|probability|reliability
RE,1,3,Network & Wireless Systems,Java,83.9,Full Stack Development,76.5,Operating Systems,74.3,Python,68.3,Automata Theory,67.5,weibull|fault tree|quality|simulation|fmea|testing|probability|risk|reliability
DBM,3,2,Data Science & Analytics|Web Development|Mobile & IoT Development,Database Management Systems,94.5,Software Engineering,92.9,Automata Theory,90.6,Computer Networks,87.8,Operating Systems,87.3,kpi|ecommerce|agile|crm|seo|web
EAM,2,0,Mobile & IoT Development|Cloud & Distributed Systems,Engineering Mathematics-III,96.7,IoT,96.7,Engineering Mathematics-IV,94.3,Cryptography & Network Security,92.6,Software Engineering,92.1,
RE,1,3,Network & Wireless Systems,Database Management Systems,73.1,Microcontroller & Embedded Systems,72.7,Data Structures and Algorithms,69.6,Digital Logic & Design,69.0,Software Engineering,68.8,weibull|fault tree|quality|simulation|phishing|fmea|testing|probability|risk
EAM,2,1,Mobile & IoT Development|Network & Wireless Systems,Computer Networks,46.8,Digital Logic & Design,42.4,Artificial Intelligence,42.1,Engineering Mathematics-III,41.6,C++,40.6,audit|power|simulation|hvac|renewable
OR,1,0,Data Science & Analytics,Engineering Mathematics-III,100.0,Software Engineering,92.0,Engineering Mathematics-IV,75.6,Operating Systems,72.3,Design & Analysis of Algorithms,70.6,
DBM,3,1,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Data Structures and Algorithms,100.0,Computer Networks,100.0,Microcontroller & Embedded Systems,100.0,Software Engineering,100.0,C++,100.0,seo|analytics
DBM,2,3,Web Development|Cloud & Distributed Systems,Design & Analysis of Algorithms,98.6,Software Engineering,97.9,Database Management Systems,97.0,Full Stack Development,95.4,Java,91.6,ecommerce|digital marketing|dashboard|crm|analytics|react|web
DBM,1,2,Web Development,Design & Analysis of Algorithms,62.9,Engineering Mathematics-III,60.31222227467001,Microcontroller & Embedded Systems,56.2,Artificial Intelligence,55.1,Engineering Mathematics-IV,54.932199133761785,kpi|ecommerce|digital marketing|dashboard|agile|analytics|seo|web
EAM,1,2,Mobile & IoT Development,Design & Analysis of Algorithms,80.3,IoT,79.7,Digital Logic & Design,76.9,Database Management Systems,76.6,Engineering Mathematics-III,74.6,audit|solar|monitoring|sensor|dashboard|hvac|renewable|energy
EAM,1,2,Mobile & IoT Development,Java,91.1,Automata Theory,88.6,Digital Logic & Design,86.9,IoT,86.9,Microcontroller & Embedded Systems,86.4,audit|power|sensor|hvac|renewable|energy
EAM,1,4,Mobile & IoT Development,Software Engineering,100.0,Engineering Mathematics-III,97.2,IoT,95.3,Design & Analysis of Algorithms,93.3,Operating Systems,92.2,audit|solar|monitoring|power|iot|simulation|hvac|renewable|analytics|energy
EAM,2,1,Mobile & IoT Development|Network & Wireless Systems,Microcontroller & Embedded Systems,100.0,C++,100.0,Design & Analysis of Algorithms,100.0,Engineering Mathematics-III,98.5,Automata Theory,96.4,phishing|sensor|solar|monitoring
OR,1,3,Data Science & Analytics,Microcontroller & Embedded Systems,68.2,Engineering Mathematics-IV,64.3,Software Engineering,64.3,Operating Systems,57.4,Design & Analysis of Algorithms,54.1,simplex|supply chain|scheduling|linear programming|simulation|agile|queuing|optimization|scipy
EAM,2,3,Mobile & IoT Development|Network & Wireless Systems,Java,86.1,Automata Theory,74.2,Engineering Mathematics-III,73.6,Design & Analysis of Algorithms,66.6,Operating Systems,65.9,monitoring|power|iot|sensor|efficiency|energy
EAM,2,4,Mobile & IoT Development|Cloud & Distributed Systems,Engineering Mathematics-III,56.0,Cryptography & Network Security,42.26944431840573,C++,41.6,Software Engineering,40.5,Design & Analysis of Algorithms,35.2,audit|monitoring|power|sensor|iot|efficiency|renewable|energy
OR,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-III,100.0,Java,100.0,Automata Theory,95.2,Microcontroller & Embedded Systems,91.6,Design & Analysis of Algorithms,90.8,simplex|supply chain|scheduling|linear programming|simulation|scipy
OR,1,1,Data Science & Analytics,IoT,95.71116901554643,Cryptography & Network Security,81.3,Engineering Mathematics-IV,77.8,Engineering Mathematics-III,76.1,Automata Theory,71.6,simplex|supply chain|simulation|inventory|scipy
CSL,2,3,Network & Wireless Systems|Cloud & Distributed Systems,Operating Systems,42.0,Engineering Mathematics-III,38.5,Microcontroller & Embedded Systems,33.7,Cryptography & Network Security,32.4,Python,30.6,ecommerce|authentication|phishing|security|cyber|firewall|probability|forensics|encryption
RE,1,3,Network & Wireless Systems,Cryptography & Network Security,43.8,Microcontroller & Embedded Systems,39.6,Design & Analysis of Algorithms,33.8,Database Management Systems,28.7,Artificial Intelligence,28.2,weibull|power|statistics|quality|simulation|testing|fmea|risk|reliability
EAM,1,0,Mobile & IoT Development,Cryptography & Network Security,81.8,IoT,77.9,Automata Theory,75.7,Software Engineering,70.4,Engineering Mathematics-III,70.3,
DBM,2,1,Data Science & Analytics|Cloud & Distributed Systems,Python,73.2,Engineering Mathematics-IV,63.8,Engineering Mathematics-III,61.7,Microcontroller & Embedded Systems,57.8,Cryptography & Network Security,57.0,crm|web|ecommerce
CSL,1,2,Network & Wireless Systems,Database Management Systems,96.2,Computer Networks,92.9,Java,91.5,Operating Systems,89.5,Microcontroller & Embedded Systems,88.4,vulnerability|quality|phishing|cyber|firewall|network security|forensics|encryption
EAM,1,1,Mobile & IoT Development,C++,63.7,Software Engineering,63.1,IoT,62.5,Data Structures and Algorithms,55.7,Engineering Mathematics-III,54.2,analytics|efficiency|power
CSL,1,2,Network & Wireless Systems,Engineering Mathematics-III,76.74412553306014,Operating Systems,68.2,Computer Networks,64.7,Full Stack Development,55.9,Cryptography & Network Security,52.6,vulnerability|phishing|security|cyber|crm|firewall|forensics|encryption
DBM,2,2,Data Science & Analytics|Web Development,Database Management Systems,89.4,Design & Analysis of Algorithms,79.5,Cryptography & Network Security,75.9,IoT,74.3,Python,73.2,kpi|dashboard|agile|crm|react|seo|web
RE,2,0,Network & Wireless Systems|Cloud & Distributed Systems,Engineering Mathematics-III,98.2,Design & Analysis of Algorithms,95.6,Engineering Mathematics-IV,95.5,Artificial Intelligence,95.1,Computer Networks,94.3,
CSL,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Cryptography & Network Security,68.4,Computer Networks,63.6,Java,50.8,Operating Systems,50.7,Automata Theory,49.3,vulnerability|forensics|firewall
CSL,1,1,Network & Wireless Systems,Database Management Systems,86.56608856054599,C++,76.1,Cryptography & Network Security,72.4,Full Stack Development,70.3,Engineering Mathematics-IV,69.7,authentication|phishing|security|cyber|forensics|encryption
CSL,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Automata Theory,79.4,Digital Logic & Design,72.0,Java,71.3,Computer Networks,70.7,Design & Analysis of Algorithms,69.6,vulnerability|authentication|security|reliability
RE,1,2,Network & Wireless Systems,Engineering Mathematics-IV,86.3,Microcontroller & Embedded Systems,83.0,Python,77.8,Software Engineering,74.7,Design & Analysis of Algorithms,69.4,fault tree|statistics|quality|fmea|web
CSL,1,3,Network & Wireless Systems,Operating Systems,91.5,Database Management Systems,78.4,Software Engineering,76.1,Computer Networks,74.5,Cryptography & Network Security,74.5,vulnerability|authentication|phishing|security|cyber|optimization|network security|firewall|forensics|encryption
DBM,2,3,Data Science & Analytics|Web Development,Full Stack Development,74.4,Software Engineering,66.6,Microcontroller & Embedded Systems,63.6,Digital Logic & Design,63.3,Operating Systems,61.2,digital marketing|agile|crm|analytics|react|seo|web
OR,3,2,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Engineering Mathematics-III,72.9,Computer Networks,64.8,Full Stack Development,62.7,Engineering Mathematics-IV,60.4,Data Structures and Algorithms,57.8,scheduling|renewable|simulation|linear programming
OR,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-IV,86.5,C++,80.5,Data Structures and Algorithms,78.4,Design & Analysis of Algorithms,76.8,Full Stack Development,72.0,vulnerability|linear programming|queuing|inventory|optimization|scipy
CSL,2,3,Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,73.5,Full Stack Development,73.5,Software Engineering,73.3,Cryptography & Network Security,64.5,Automata Theory,54.7,vulnerability|authentication|phishing|security|cyber|firewall|network security|analytics|forensics
OR,1,2,Data Science & Analytics,Full Stack Development,53.3,Cryptography & Network Security,51.8,Engineering Mathematics-III,50.5,Data Structures and Algorithms,48.9,Artificial Intelligence,48.4,simplex|scheduling|linear programming|simulation|cyber|inventory|optimization|scipy
DBM,2,1,Web Development|Data Science & Analytics,Java,69.0,Full Stack Development,67.6,Artificial Intelligence,65.5,Digital Logic & Design,65.2,Design & Analysis of Algorithms,62.9,kpi|ecommerce|digital marketing|dashboard|crm|analytics|energy
RE,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Database Management Systems,100.0,Cryptography & Network Security,96.6,C++,95.7,Automata Theory,91.9,Artificial Intelligence,91.3,fmea|simulation|fault tree|probability
EAM,1,2,Mobile & IoT Development,IoT,70.6,Artificial Intelligence,64.6,Database Management Systems,56.1,Computer Networks,50.3,Software Engineering,49.5,audit|solar|monitoring|sensor|iot|efficiency|hvac|renewable|energy|encryption
CSL,1,2,Network & Wireless Systems,Cryptography & Network Security,55.3,Computer Networks,52.4,C++,51.8,Python,49.1,Artificial Intelligence,46.3,vulnerability|authentication|phishing|security|cyber|testing|firewall|network security|encryption
DBM,2,3,Data Science & Analytics|Cloud & Distributed Systems,Full Stack Development,100.0,Data Structures and Algorithms,98.3,Python,97.6,Database Management Systems,97.4,IoT,95.6,ecommerce|digital marketing|dashboard|agile|efficiency|crm|analytics|seo|web|encryption
OR,2,3,Data Science & Analytics|Artificial Intelligence & Machine Learning,Artificial Intelligence,85.2,Engineering Mathematics-III,79.4,Cryptography & Network Security,75.9,Computer Networks,75.3,Engineering Mathematics-IV,72.4,simplex|supply chain|linear programming|queuing|inventory|optimization|scipy
DBM,3,2,Data Science & Analytics|Web Development|Cloud & Distributed Systems,Artificial Intelligence,63.4,Database Management Systems,63.3,Python,57.8,Operating Systems,56.7,Design & Analysis of Algorithms,56.0,kpi|digital marketing|dashboard|agile|crm|analytics|react|seo|web
DBM,1,3,Web Development,Full Stack Development,86.4,Engineering Mathematics-IV,84.73446580057518,Digital Logic & Design,84.3,Java,82.3,Engineering Mathematics-III,81.52620617329075,kpi|ecommerce|digital marketing|dashboard|agile|crm|analytics|react|seo|web
RE,1,3,Network & Wireless Systems,Operating Systems,72.6,Data Structures and Algorithms,67.3,Java,65.2,Database Management Systems,57.1,Software Engineering,51.9,fault tree|ecommerce|statistics|simulation|testing|fmea|risk|reliability
CSL,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Cryptography & Network Security,35.9,Python,30.6,C++,29.9,Software Engineering,28.9,Artificial Intelligence,27.8,seo|forensics|encryption|firewall
EAM,1,2,Mobile & IoT Development,Database Management Systems,58.52096562941719,IoT,54.3,Engineering Mathematics-IV,49.5,Python,48.4,Java,48.3,audit|solar|power|sensor|iot|efficiency|renewable|probability|energy
OR,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Database Management Systems,80.1,Cryptography & Network Security,68.8,Artificial Intelligence,63.0,Computer Networks,59.4,Design & Analysis of Algorithms,58.6,supply chain|scheduling|phishing|fmea|queuing|optimization|scipy
CSL,2,1,Network & Wireless Systems|Web Development,Engineering Mathematics-IV,50.4,Digital Logic & Design,45.9,Computer Networks,39.2,Design & Analysis of Algorithms,33.6,Artificial Intelligence,30.1,vulnerability|authentication|quality|cyber
RE,1,3,Network & Wireless Systems,Database Management Systems,75.6,Data Structures and Algorithms,69.6,Cryptography & Network Security,69.1,Digital Logic & Design,64.2,Artificial Intelligence,64.1,weibull|fault tree|statistics|authentication|testing|fmea|inventory|risk|reliability
OR,1,4,Data Science & Analytics,C++,75.7,Automata Theory,75.1,Java,73.5,Engineering Mathematics-III,71.7,Software Engineering,67.2,supply chain|simplex|scheduling|linear programming|simulation|queuing|optimization|inventory|scipy
CSL,2,3,Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,100.0,Microcontroller & Embedded Systems,100.0,Artificial Intelligence,100.0,Cryptography & Network Security,100.0,Engineering Mathematics-IV,97.2,vulnerability|ecommerce|authentication|phishing|firewall|network security|forensics|encryption
OR,1,3,Data Science & Analytics,Design & Analysis of Algorithms,98.8,C++,91.8,Data Structures and Algorithms,90.3,Computer Networks,86.7,Cryptography & Network Security,84.4,supply chain|simulation|linear programming|queuing|inventory|scipy
RE,2,4,Network & Wireless Systems|Data Science & Analytics,Database Management Systems,32.5,Automata Theory,26.1,Artificial Intelligence,23.4,Cryptography & Network Security,16.9,Full Stack Development,16.6,weibull|kpi|fault tree|statistics|quality|simulation|testing|fmea|probability|risk
EAM,1,1,Mobile & IoT Development,Engineering Mathematics-IV,100.0,Microcontroller & Embedded Systems,100.0,Data Structures and Algorithms,99.9,IoT,99.8,Cryptography & Network Security,97.9,audit|iot|quality|sensor|energy
DBM,2,3,Web Development|Data Science & Analytics,Design & Analysis of Algorithms,89.8,Software Engineering,89.2,Data Structures and Algorithms,85.8,Database Management Systems,85.0,Computer Networks,83.8,kpi|ecommerce|agile|crm|analytics|react|seo|web
RE,1,0,Network & Wireless Systems,Microcontroller & Embedded Systems,100.0,Engineering Mathematics-III,99.1,Operating Systems,97.1,Python,95.9,Java,95.1,
DBM,2,3,Data Science & Analytics|Mobile & IoT Development,Software Engineering,69.7,Operating Systems,59.0,Digital Logic & Design,40.7,IoT,39.7,Computer Networks,36.4,vulnerability|kpi|ecommerce|digital marketing|agile|crm|analytics|react|optimization|seo
EAM,2,1,Mobile & IoT Development|Network & Wireless Systems,IoT,81.3,Microcontroller & Embedded Systems,80.5,C++,76.3,Engineering Mathematics-IV,74.72177673903596,Data Structures and Algorithms,72.5,monitoring|power|efficiency|hvac|renewable|energy
DBM,1,1,Data Science & Analytics,Engineering Mathematics-III,77.9,Automata Theory,71.3,Engineering Mathematics-IV,69.0,Design & Analysis of Algorithms,69.0,C++,65.4,ecommerce|agile|crm|react|seo
CSL,1,2,Network & Wireless Systems,Computer Networks,91.5,Engineering Mathematics-IV,80.6,Operating Systems,77.8,Full Stack Development,77.6,Cryptography & Network Security,76.5,vulnerability|phishing|security|firewall|network security|forensics|encryption
EAM,2,2,Mobile & IoT Development|Cloud & Distributed Systems,Software Engineering,43.2,C++,35.1,Design & Analysis of Algorithms,35.0,Microcontroller & Embedded Systems,32.8,IoT,25.4,audit|monitoring|scheduling|iot|sensor|hvac|renewable|testing
DBM,1,2,Web Development,Full Stack Development,60.5,Database Management Systems,51.2,C++,48.8,Java,47.8,Microcontroller & Embedded Systems,38.9,ecommerce|digital marketing|dashboard|agile|crm|analytics|react|seo|web
DBM,2,3,Web Development|Data Science & Analytics,Full Stack Development,85.5,Microcontroller & Embedded Systems,71.9,C++,71.4,Software Engineering,71.3,Engineering Mathematics-III,68.2,ecommerce|agile|efficiency|crm|analytics|react|encryption
DBM,2,1,Web Development|Data Science & Analytics,IoT,68.6,Data Structures and Algorithms,55.0,Software Engineering,54.6,Microcontroller & Embedded Systems,52.3,Python,51.0,dashboard|ecommerce
CSL,1,4,Network & Wireless Systems,Cryptography & Network Security,92.9,IoT,83.9,Python,83.6,Design & Analysis of Algorithms,81.3,Computer Networks,80.8,vulnerability|authentication|phishing|security|cyber|firewall|forensics|web
OR,2,4,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-IV,76.2,Microcontroller & Embedded Systems,73.6,Artificial Intelligence,66.5,Cryptography & Network Security,66.0,Operating Systems,60.2,supply chain|simplex|linear programming|simulation|queuing|optimization|inventory|scipy|forensics
RE,2,4,Network & Wireless Systems|Cloud & Distributed Systems,Software Engineering,89.2,Microcontroller & Embedded Systems,80.0,Computer Networks,73.7,Engineering Mathematics-IV,72.5,Operating Systems,72.5,fault tree|statistics|quality|iot|simulation|agile|testing|probability|reliability
OR,1,1,Data Science & Analytics,Database Management Systems,61.4,Digital Logic & Design,59.9,Cryptography & Network Security,59.5,Engineering Mathematics-IV,59.4,Artificial Intelligence,59.2,scipy|inventory
CSL,2,2,Network & Wireless Systems|Cloud & Distributed Systems,Operating Systems,100.0,Computer Networks,100.0,C++,100.0,Java,100.0,Cryptography & Network Security,100.0,vulnerability|authentication|phishing|security|cyber|firewall|optimization|forensics
CSL,2,2,Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,85.8,Design & Analysis of Algorithms,80.7,C++,78.7,Cryptography & Network Security,76.7,Engineering Mathematics-IV,73.21842166162953,supply chain|authentication|phishing|security|cyber|firewall|network security|forensics|encryption
CSL,3,4,Network & Wireless Systems|Cloud & Distributed Systems|Web Development,Software Engineering,93.5,Cryptography & Network Security,86.9,C++,86.7,Data Structures and Algorithms,85.8,Microcontroller & Embedded Systems,83.5,vulnerability|digital marketing|authentication|phishing|security|cyber|firewall|network security|encryption
EAM,1,1,Mobile & IoT Development,IoT,93.2,Computer Networks,87.6,Database Management Systems,86.3,Java,83.9,Software Engineering,81.8,iot|renewable|hvac|power
DBM,2,4,Web Development|Cloud & Distributed Systems,Engineering Mathematics-IV,81.01717827317589,Full Stack Development,72.6,Python,67.5,Database Management Systems,64.3,Artificial Intelligence,61.8,kpi|digital marketing|dashboard|agile|crm|react|seo|web
DBM,1,2,Web Development,Data Structures and Algorithms,94.6,Operating Systems,86.9,Database Management Systems,86.1,C++,86.0,Python,84.6,kpi|solar|dashboard|agile|crm|analytics|react|seo|reliability
DBM,4,3,Web Development|Data Science & Analytics|Cloud & Distributed Systems|Mobile & IoT Development,Engineering Mathematics-IV,68.3,C++,63.0,Cryptography & Network Security,60.1,Engineering Mathematics-III,59.0,Java,57.5,kpi|ecommerce|dashboard|crm|analytics|react|seo|web
RE,1,1,Network & Wireless Systems,Database Management Systems,53.3,Engineering Mathematics-IV,46.6,Design & Analysis of Algorithms,43.2,Python,40.2,C++,32.2,risk|reliability|digital marketing
OR,2,0,Data Science & Analytics|Artificial Intelligence & Machine Learning,Python,95.4,Engineering Mathematics-IV,79.7,Artificial Intelligence,78.8,Java,72.4,Cryptography & Network Security,62.9,
EAM,2,2,Mobile & IoT Development|Network & Wireless Systems,Java,70.7,Data Structures and Algorithms,68.3,Engineering Mathematics-III,50.2,Digital Logic & Design,50.1,Database Management Systems,49.2,audit|monitoring|iot|sensor|efficiency|hvac|renewable|crm
EAM,1,2,Mobile & IoT Development,IoT,83.2,Microcontroller & Embedded Systems,77.1,Engineering Mathematics-III,77.07902174479402,Python,76.2,Engineering Mathematics-IV,72.5796132364744,audit|solar|monitoring|power|iot|sensor|security|efficiency|hvac|renewable
CSL,2,3,Network & Wireless Systems|Cloud & Distributed Systems,Cryptography & Network Security,61.4,Operating Systems,60.9,IoT,59.6,Python,58.7,Engineering Mathematics-IV,57.3,vulnerability|kpi|phishing|security|cyber|renewable|inventory|network security|forensics
EAM,3,1,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Microcontroller & Embedded Systems,89.8,Full Stack Development,88.7,Automata Theory,88.3,Engineering Mathematics-IV,87.10363262434757,Digital Logic & Design,86.9,vulnerability|efficiency|hvac
DBM,1,3,Web Development,Engineering Mathematics-III,80.94647748173034,Software Engineering,71.9,Data Structures and Algorithms,64.8,Operating Systems,62.0,Automata Theory,60.8,kpi|ecommerce|digital marketing|dashboard|agile|renewable|crm|analytics|react|web
OR,1,1,Data Science & Analytics,Digital Logic & Design,72.3,Operating Systems,68.3,Java,67.9,Data Structures and Algorithms,67.7,Engineering Mathematics-III,66.3,supply chain|simulation|linear programming|queuing|optimization
DBM,2,2,Data Science & Analytics|Cloud & Distributed Systems,Operating Systems,51.2,IoT,40.63623162258048,C++,39.9,Full Stack Development,37.4,Database Management Systems,35.3,kpi|ecommerce|digital marketing|dashboard|agile|react|seo
RE,1,3,Network & Wireless Systems,Software Engineering,82.38178818802348,Java,66.8,Design & Analysis of Algorithms,64.6,Artificial Intelligence,61.2,Data Structures and Algorithms,60.9,fault tree|monitoring|digital marketing|statistics|quality|simulation|fmea|testing|probability|risk
EAM,2,2,Mobile & IoT Development|Network & Wireless Systems,Python,77.9,C++,69.4,Operating Systems,68.6,Java,67.4,Software Engineering,64.7,audit|solar|monitoring|efficiency|renewable|energy
EAM,1,2,Mobile & IoT Development,Design & Analysis of Algorithms,77.3,Microcontroller & Embedded Systems,65.1,Operating Systems,64.9,Engineering Mathematics-III,64.5,Java,64.2,monitoring|power|sensor|hvac|renewable|energy
DBM,2,3,Web Development|Data Science & Analytics,Design & Analysis of Algorithms,40.3,Engineering Mathematics-III,32.125561966064836,Software Engineering,23.5,Engineering Mathematics-IV,22.81335122967376,IoT,21.3,kpi|digital marketing|dashboard|agile|queuing|crm|react|seo
DBM,3,4,Data Science & Analytics|Web Development|Cloud & Distributed Systems,Database Management Systems,99.2,Design & Analysis of Algorithms,88.9,Engineering Mathematics-III,87.2,Software Engineering,85.7,Python,84.7,dashboard|agile|crm|react|seo|web
EAM,3,1,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Design & Analysis of Algorithms,64.7,Java,62.7,Cryptography & Network Security,61.3,Full Stack Development,58.6,Data Structures and Algorithms,57.1,audit|solar|monitoring|iot|renewable
CSL,1,3,Network & Wireless Systems,Operating Systems,76.7,Data Structures and Algorithms,72.1,Cryptography & Network Security,72.1,Automata Theory,61.7,Full Stack Development,58.4,vulnerability|power|phishing|security|cyber|firewall|network security|forensics|encryption
RE,1,1,Network & Wireless Systems,Full Stack Development,82.1,C++,74.8,Artificial Intelligence,73.2,Automata Theory,70.8,Data Structures and Algorithms,68.9,weibull|simulation
RE,2,0,Network & Wireless Systems|Cloud & Distributed Systems,Software Engineering,94.3,Digital Logic & Design,81.3,Cryptography & Network Security,74.9,Automata Theory,73.8,Python,71.7,
DBM,2,3,Data Science & Analytics|Cloud & Distributed Systems,Design & Analysis of Algorithms,69.2,Database Management Systems,53.5,Engineering Mathematics-IV,38.5,Software Engineering,33.8,Microcontroller & Embedded Systems,28.6,kpi|digital marketing|dashboard|agile|crm|analytics|seo|web
CSL,1,3,Network & Wireless Systems,Engineering Mathematics-IV,75.4396469018097,Full Stack Development,65.1,Computer Networks,64.4,Cryptography & Network Security,62.2,Software Engineering,60.4,vulnerability|solar|authentication|quality|phishing|security|firewall|network security|encryption
RE,3,1,Network & Wireless Systems|Cloud & Distributed Systems|Data Science & Analytics,C++,66.1,Cryptography & Network Security,63.5,Microcontroller & Embedded Systems,61.4,Automata Theory,58.4,Engineering Mathematics-III,56.4,weibull|fault tree|statistics|quality|fmea|probability
RE,1,2,Network & Wireless Systems,Engineering Mathematics-III,84.7,Data Structures and Algorithms,83.1,Automata Theory,82.9,C++,82.1,IoT,81.4,weibull|statistics|quality|dashboard|probability|risk|reliability
CSL,1,1,Network & Wireless Systems,IoT,81.0,Data Structures and Algorithms,80.5,Python,80.3,Database Management Systems,69.6,Software Engineering,67.7,authentication|phishing|security|forensics|encryption
CSL,1,2,Network & Wireless Systems,Cryptography & Network Security,60.2,Design & Analysis of Algorithms,58.8,Java,51.2,Python,51.0,C++,50.3,vulnerability|react|authentication|security|cyber|network security|forensics|encryption
CSL,1,2,Network & Wireless Systems,Cryptography & Network Security,86.3,Computer Networks,83.1,Design & Analysis of Algorithms,82.7,Operating Systems,81.7,Engineering Mathematics-III,72.2,vulnerability|authentication|phishing|cyber|firewall|network security|forensics|encryption
CSL,1,2,Network & Wireless Systems,Digital Logic & Design,73.5,Microcontroller & Embedded Systems,66.5,Computer Networks,66.2,Full Stack Development,63.8,Java,62.9,vulnerability|dashboard|security|cyber|firewall|network security|forensics|encryption
DBM,1,2,Data Science & Analytics,Software Engineering,34.9,Computer Networks,31.8,Microcontroller & Embedded Systems,31.6,Artificial Intelligence,28.7,Automata Theory,25.8,ecommerce|dashboard|agile|analytics|react|seo|web|reliability
DBM,2,1,Web Development|Data Science & Analytics,Digital Logic & Design,46.7,Design & Analysis of Algorithms,44.9,Full Stack Development,40.7,Data Structures and Algorithms,40.2,Computer Networks,36.9,dashboard|web|analytics|digital marketing
CSL,1,2,Network & Wireless Systems,Database Management Systems,84.3,Artificial Intelligence,72.4,C++,67.7,Design & Analysis of Algorithms,66.4,Automata Theory,66.3,authentication|sensor|phishing|security|cyber|network security|forensics|encryption
OR,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Software Engineering,87.08179982077968,Artificial Intelligence,82.0,Design & Analysis of Algorithms,80.8,Operating Systems,70.6,Engineering Mathematics-III,69.1,supply chain|simulation
DBM,2,1,Web Development|Data Science & Analytics,Engineering Mathematics-IV,57.5,Computer Networks,50.8,Automata Theory,44.3,Python,43.3,Full Stack Development,42.7,kpi|agile|crm|analytics|react|seo
OR,1,1,Data Science & Analytics,Cryptography & Network Security,58.9,Operating Systems,54.6,Python,54.3,Engineering Mathematics-III,47.7,Software Engineering,42.25025657706374,scipy|inventory
DBM,3,3,Data Science & Analytics|Cloud & Distributed Systems|Mobile & IoT Development,Database Management Systems,98.6,Engineering Mathematics-IV,88.3,Computer Networks,86.3,Data Structures and Algorithms,85.9,IoT,85.8,kpi|ecommerce|digital marketing|dashboard|analytics|seo|web
RE,2,4,Network & Wireless Systems|Cloud & Distributed Systems,Cryptography & Network Security,51.2,Microcontroller & Embedded Systems,45.0,Engineering Mathematics-III,39.7,Engineering Mathematics-IV,36.9,Data Structures and Algorithms,33.5,weibull|fault tree|statistics|quality|simulation|fmea|testing|probability|risk|reliability
DBM,2,2,Data Science & Analytics|Web Development,Full Stack Development,77.5,IoT,75.3,C++,74.5,Operating Systems,73.0,Database Management Systems,71.3,kpi|ecommerce|dashboard|agile|fmea|crm|analytics|web
RE,1,2,Network & Wireless Systems,Digital Logic & Design,67.2,IoT,63.7,Java,55.2,Microcontroller & Embedded Systems,54.2,Cryptography & Network Security,54.1,fault tree|statistics|quality|simulation|testing|risk|reliability
CSL,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Data Structures and Algorithms,57.5,Software Engineering,46.7,Computer Networks,44.3,Operating Systems,43.5,Engineering Mathematics-III,41.3,supply chain|forensics|security
RE,2,2,Network & Wireless Systems|Cloud & Distributed Systems,Automata Theory,75.0,IoT,67.4,Operating Systems,64.7,Digital Logic & Design,64.3,Full Stack Development,62.6,weibull|fault tree|statistics|simulation|probability|risk|reliability
DBM,1,2,Data Science & Analytics,Database Management Systems,78.7,Cryptography & Network Security,65.5,Java,58.9,Software Engineering,58.1,IoT,58.0,kpi|digital marketing|dashboard|analytics|seo|web
DBM,3,3,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Cryptography & Network Security,43.6,C++,43.4,Computer Networks,38.8,Java,33.4,Software Engineering,32.0,kpi|ecommerce|agile|cyber|react|seo|web
